ID,Title,Authors,Date,URL,Page Number
100,Improving government productivity: A systemwide approach,Eoin Daly,"January 29, 2025",https://www.mckinsey.com/industries/public-sector/our-insights/improving-government-productivity-a-systemwide-approach,11
101,Scaling the AI-native telco,"Benjamim Vieira , Guilherme Cruz , Ignacio Ferrero , Joshan Cherian Abraham , Tomas Lajous","February 27, 2025",https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/scaling-the-ai-native-telco,11
102,Four considerations for better goal setting and performance,Brooke Weddle,"January 13, 2025",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/four-considerations-for-better-goal-setting-and-performance,11
103,Water resilience: Closing the funding gap for utilities,"Adam Barth , Humayun Tai , Sarah Brody","March 11, 2025",https://www.mckinsey.com/industries/energy-and-materials/our-insights/water-resilience-closing-the-funding-gap-for-utilities,11
104,Improving refinery margins through value chain optimization,Andrew Warrell,"January 16, 2025",https://www.mckinsey.com/industries/oil-and-gas/our-insights/improving-refinery-margins-through-value-chain-optimization,13
105,The potential for productivity,"Joris Wijpkema , Richard Sellschop","January 10, 2025",https://www.mckinsey.com/capabilities/operations/our-insights/operations-blog/the-potential-for-productivity,13
106,The future of bank risk management,"Philipp Harle , Andras Havas , Hamid Samandari","July 22, 2016",https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/the-future-of-bank-risk-management,13
107,How businesses can create leadership paths for everyone,Not specified,"March 8, 2025",https://www.mckinsey.com/featured-insights/themes/how-businesses-can-create-leadership-paths-for-everyone,13
108,Your guide to influencing change,Not specified,"July 23, 2022",https://www.mckinsey.com/featured-insights/themes/your-guide-to-influencing-change,13
109,European Transformation Summit: Empowering people,"Neil Christie , Olivier Gorter","February 11, 2025",https://www.mckinsey.com/capabilities/transformation/our-insights/european-transformation-summit-empowering-people,13
110,Financial services: Dealmakers adapt to a shifting landscape,Not specified,"February 19, 2025",https://www.mckinsey.com/capabilities/m-and-a/our-insights/financial-services-dealmakers-adapt-to-a-shifting-landscape,13
111,Managing and supporting employees through cultural change in mergers,"Rebecca Kaetzler , Kameron Kordestani , Emily O Loughlin , Mieke Van Oostende","December 5, 2019",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/managing-and-supporting-employees-through-cultural-change-in-mergers,13
112,Why managing culture is critical for value creation in M&A,"Emily O Loughlin , Kameron Kordestani , Rebecca Kaetzler","February 19, 2025",https://www.mckinsey.com/capabilities/m-and-a/our-insights/why-managing-culture-is-critical-for-value-creation-in-m-and-a,13
113,Scaling gen AI in the life sciences industry,"Chaitanya Adabala Viswa , Dandi Zhu , Delphine Zurkiya , Joachim Bleys","January 10, 2025",https://www.mckinsey.com/industries/life-sciences/our-insights/scaling-gen-ai-in-the-life-sciences-industry,16
114,Impacts of climate change on Black populations in the United States,"Zach Bruick , Munya Muvezwa , Kirtiman Pathak , Daniel Stephens , Shelley Stewart , Alexis Trittipo","November 30, 2023",https://www.mckinsey.com/bem/our-insights/impacts-of-climate-change-on-black-populations-in-the-united-states,16
115,Insights to shape organization culture for success,"Richard Steele , Brooke Weddle","August 5, 2024",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/insights-to-shape-organization-culture-for-success,16
116,The critical role of strategic workforce planning in the age of AI,"Neel Gandhi , Sandra Durth , Vincent Berube","February 26, 2025",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-critical-role-of-strategic-workforce-planning-in-the-age-of-ai,16
117,“I think you see behavior change only if you put an aggressive goal out there.”,Not specified,"May 21, 2024",https://www.mckinsey.com/featured-insights/quote-of-the-day/may-21-2024,16
118,How medtech companies can create value via inventory optimization,"Arnav Dey , Mohammad Behnam","January 24, 2025",https://www.mckinsey.com/industries/life-sciences/our-insights/how-medtech-companies-can-create-value-via-inventory-optimization,16
119,A new approach to advanced analytics in utility asset management,"Anjan Asthana , Alfonso Encinas , Aditya Pande , Luis Fernando Rios Siliceo , Jesus Rodriguez Gonzalez , Willem van Schalkwyk , Anand Mohanrangan","September 23, 2022",https://www.mckinsey.com/industries/electric-power-and-natural-gas/our-insights/a-new-approach-to-advanced-analytics-in-utility-asset-management,16
120,Everything everywhere all at once: North American asset management 2023,"Farhan Banani , JuHon Kwek , Joseph Lai , Henri Torbey","November 28, 2023",https://www.mckinsey.com/industries/financial-services/our-insights/everything-everywhere-all-at-once-north-american-asset-management-2023,16
121,How capital expenditure management can drive performance,"Tom Brinded , Erikhans Kok , Lucas Ponbauer , Bevan Watson","June 29, 2022",https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/how-capital-expenditure-management-can-drive-performance,18
122,How to implement and sustain organizational change,Not specified,"July 3, 2018",https://www.mckinsey.com/capabilities/implementation/our-insights/how-to-implement-and-sustain-organizational-change,18
123,Asia at the forefront of global change: On the cusp of a new era,"Chris Bradley , Angela Buensuceso , Jeongmin Seong","January 26, 2024",https://www.mckinsey.com/featured-insights/future-of-asia/future-of-asia-podcasts/asia-at-the-forefront-of-global-change-on-the-cusp-of-a-new-era,18
124,Celebrate the best of our publishing insights,Not specified,"December 8, 2024",https://www.mckinsey.com/featured-insights/themes/celebrate-the-best-of-our-publishing-insights,18
125,How Judy Marks leads Otis Worldwide Corporation through uncertainty and technological evolution,Eric Kutcher,"March 11, 2025",https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/how-judy-marks-leads-otis-worldwide-corporation-through-uncertainty-and-technological-evolution,18
126,Arnab Bose on AI’s impact on cybersecurity,Rikki Singh,"February 14, 2025",https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/arnab-bose-on-ais-impact-on-cybersecurity,18
127,Unlocking peak operational performance in clinical development with artificial intelligence,"Anton Mihic , Gaurav Agrawal , Chaitanya Adabala Viswa , Hann Yew , Kevin Webster","January 9, 2025",https://www.mckinsey.com/industries/life-sciences/our-insights/unlocking-peak-operational-performance-in-clinical-development-with-artificial-intelligence,18
128,Strategic talent management for the post-pandemic world,"Bryan Hancock , Bill Schaninger","November 9, 2020",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/strategic-talent-management-for-the-post-pandemic-world,20
129,"Travel, logistics, and infrastructure: Firms are finding opportunities in technology, changing consumer demographics, and global trade",Not specified,"February 19, 2025",https://www.mckinsey.com/capabilities/m-and-a/our-insights/travel-logistics-and-infrastructure-firms-are-finding-opportunities-in-technology-changing-consumer-demographics-and-global-trade,20
130,Stop playing “Whac-a-mole” with behavior change,"Noa Dagan , Reed Doucette , Taylor Lauricella","October 21, 2019",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/stop-playing-whac-a-mole-with-behavior-change,20
131,Solar installation swings with policy shifts,Not specified,"March 11, 2025",https://www.mckinsey.com/featured-insights/sustainable-inclusive-growth/charts/solar-installation-swings-with-policy-shifts,20
132,Europe in the intelligent age: From ideas to action,"Jan Mischke , Massimo Giordano , Solveigh Hieronimus , Sven Smit","January 17, 2025",https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/europe-in-the-intelligent-age-from-ideas-to-action,20
